C1, 哎吔
C2, Mem Mem（好味）
C3, 喂？/ 喂！
C4, 婆婆
C5, 嬤嬤
C6, 姐姐
C7, 哥哥
C8, 伯伯
C9, BB
C10, 唔准 / 唔得
C11, 沖涼 / 洗白白
C12, 拜拜 / 再見
C13, Boo嘖（掩面遊戲）
C14, 多謝 / 謝謝
C15, 等陣
C16, 賴 / 痾屎 / 臭臭
C17, 食飯
C18, 飲
C19, 咬
C20, 俾
C21, 錫（吻）
C22, 打
C23, 跌
C24, 踢
C25, 瞓覺
C26, 愛 / 要
C27, 抱
C28, 坐
C29, 出（去）
C30, 抹
C31, 睇
C32, 拍（手）
D1, 開
D2, 牛奶 / 奶奶
D3, 果汁
D4, 飯
D5, 粥
D6, 麵包 / 包包
D7, 餅
D8, 蘋果
D9, 魚
D10, 眼
D11, 口 / 嘴
D12, 手
D13, 腳
D14, 屁股 / Pek Pek
D15, 曳
D16, 乖
D17, 驚
D18, 痛
D19, 好_（如：好大）
D20, 靚
D21, 污糟 / 邋遢
D22, 熱
D23, 飽
D24, 波
D25, 書
D26, 鞋
D27, 衫
D28, 尿片 / 片片
D29, 房
D30, 電視
D31, 床
D32, 凳 / 椅
E1, 風扇
E2, 杯
E3, 樽
E4, 奶嘴
E5, （匙）羹
E6, 電話
E7, 燈
E8, 被（blanket)
E9, 紙
E10, 狗
E11, 貓
E12, 鴨
E13, 雀
E14, 豬
E15, 熊仔 / 啤啤
E16, 白兔 / 兔仔
E17, 花
E18, 樹
E19, 屋企
E20, 街
E21, 遮（雨傘）
E22, 車
E23, 巴士
E24, 的士
E25, 上面
E26, 呢邊 / 呢度
E27, 我
E28, 你
E29, 冇
E30, 邊度
E31, 邊個
